customer_id,signup_date,gender,age,tenure_months,contract_type,payment_method,monthly_charges,total_charges,support_tickets,churned
C1000,2025-03-26,Male,48.0,68,Month-to-month,Electronic check,32.24,2192.32,2,No
C1001,2024-08-28,Male,71.0,45,Month-to-month,Bank transfer,77.43,3484.35,1,Yes
C1002,2024-12-11,Female,45.0,49,Month-to-month,Mailed check,67.26,3295.74,2,No
C1003,2024-05-16,Female,52.0,64,Month-to-month,Bank transfer,62.16,3978.24,3,No
C1004,2024-02-26,Male,61.0,42,Month-to-month,Credit card,68.17,2863.14,1,No
C1005,2024-11-27,Male,23.0,56,Month-to-month,Bank transfer,56.51,3164.56,1,No
C1006,2024-07-02,Male,53.0,60,Month-to-month,Bank transfer,54.69,3281.4,1,No
C1007,2024-07-25,Male,38.0,16,One year,Electronic check,27.93,446.88,0,No
C1008,2025-05-21,Female,44.0,4,One year,Credit card,69.26,277.04,1,Yes
C1009,2024-03-07,Female,33.0,22,Month-to-month,Bank transfer,116.14,2555.08,3,No
C1010,2025-01-03,Male,25.0,21,Month-to-month,Mailed check,119.51,2509.71,2,No
C1011,2025-03-03,Male,27.0,63,One year,Electronic check,103.05,6492.15,3,No
C1012,2024-09-23,Male,56.0,65,Month-to-month,Credit card,87.65,5697.25,5,No
C1013,2025-02-18,Male,47.0,1,Month-to-month,Credit card,53.09,53.09,1,No
C1014,2024-02-28,Female,23.0,36,Month-to-month,Electronic check,106.07,3818.52,2,Yes
C1015,2025-08-06,Male,29.0,59,Month-to-month,Electronic check,68.6,4047.4,0,No
C1016,2025-07-04,Female,63.0,10,Two year,Credit card,68.28,682.8,3,Yes
C1017,2024-03-23,Male,27.0,57,Month-to-month,Mailed check,62.72,3575.04,1,No
C1018,2024-12-15,Female,70.0,9,Month-to-month,Credit card,72.3,650.7,3,Yes
C1019,2025-06-30,Female,61.0,34,Two year,Mailed check,59.12,2010.08,1,No
C1020,2024-03-11,Male,,58,One year,Credit card,67.91,3938.78,2,No
C1021,2025-04-23,Female,44.0,22,Month-to-month,Electronic check,42.89,943.58,0,No
C1022,2024-10-02, male,28.0,25,Month-to-month,Mailed check,60.66,1516.5,4,Yes
C1023,2024-05-31,Female,59.0,20,Two year,Mailed check,127.01,2540.2,1,No
C1024,2025-08-13,Female,46.0,52,Month-to-month,Mailed check,68.26,3549.52,2,No
C1025,2024-10-14,Male,47.0,19,One year,Credit card,64.03,1216.57,2,No
C1026,2024-05-07,Male,61.0,71,Month-to-month,Electronic check,83.31,5915.01,2,No
C1027,2025-01-13,Female,49.0,32,One year,Bank transfer,87.7,2806.4,2,No
C1028,2024-12-18,Female,21.0,34,One year,Bank transfer,42.16,1433.44,2,No
C1029,2024-07-07,Male,37.0,36,Two year,Bank transfer,64.82,2333.52,1,No
C1030,2025-03-13,Male,56.0,42,One year,Bank transfer,92.96,3904.32,1,No
C1031,2024-03-05,Male,44.0,40,Month-to-month,Electronic check,76.75,3070.0,2,No
C1032,2024-12-29,Female,29.0,37,Month-to-month,Credit card,73.05,2702.85,0,No
C1033,2025-05-17,Male,47.0,71,Month-to-month,Mailed check,108.85,7728.35,1,No
C1034,2025-03-31,FEMALE,39.0,58,One year,Bank transfer,53.06,3077.48,1,No
C1035,2024-04-08,Female,39.0,57,Month-to-month,Bank transfer,72.07,4107.99,1,No
C1036,2025-04-22, male,32.0,50,Month-to-month,Mailed check,57.0,2850.0,0,Yes
C1037,2024-10-21,Female,69.0,45,Month-to-month,Credit card,107.26,4826.7,1,Yes
C1038,2024-02-28,Female,53.0,25,One year,Electronic check,21.2,530.0,3,No
C1039,2024-09-19,FEMALE,33.0,71,Two year,Electronic check,53.25, ,0,No
C1040,2024-06-16,Male,64.0,34,Month-to-month,Mailed check,56.77,1930.18,2,No
C1041,2025-06-25,Female,31.0,16,Month-to-month,Credit card,86.59,1385.44,2,No
C1042,2024-08-07,Male,34.0,61,One year,Credit card,85.16,5194.76,3,No
C1043,2024-12-01,Female,,12,One year,Mailed check,104.88,1258.56,4,No
C1044,2025-01-17,Male,77.0,61,One year,Electronic check,30.65,1869.65,2,No
C1045,2024-09-11,Female,66.0,44,Two year,Credit card,88.76,3905.44,1,No
C1046,2024-03-17,Male,57.0,9,Two year,Mailed check,62.67,564.03,0,Yes
C1047,2025-08-09,Female,70.0,4,Two year,Bank transfer,53.36,213.44,3,No
C1048,2024-06-03,Female,71.0,32,One year,Bank transfer,83.49,2671.68,2,No
C1049,2024-07-30, male,53.0,3,Month-to-month,Credit card,47.0,141.0,0,No
C1050,2024-07-26,Female,72.0,11,One year,Electronic check,20.0,220.0,2,No
C1051,2025-03-11,Male,40.0,37,Month-to-month,Bank transfer,60.74,2247.38,0,No
C1052,2024-02-16,Female,41.0,69,One year,Electronic check,32.56,2246.64,1,No
C1053,2024-05-20,Male,58.0,34,One year,Electronic check,53.78,1828.52,5,No
C1054,2025-06-29,Male,78.0,58,One year,Electronic check,79.29,4598.82,5,No
C1055,2025-03-30,Female,69.0,66,Month-to-month,Bank transfer,77.8,5134.8,2,No
