order_date,region,product,units,unit_price,discount,revenue
2025-01-01,North,Phone,12,899.0,,10788.0
2025-01-02,West,Monitor,15,899.0,0.1,12136.5
2025-01-03,East,Laptop,15,899.0,,13485.0
2025-01-04,South,Monitor,3,249.0,0.2,597.6
2025-01-05,South,Tablet,16,599.0,0.2,7667.2
2025-01-06,West,Laptop,11,399.0,,4389.0
2025-01-07,North,Phone,7,599.0,0.1,3773.7
2025-01-08,East,Tablet,10,899.0,0.2,7192.0
2025-01-09,North,Phone,19,599.0,0.05,10811.95
2025-01-10,North,Laptop,17,899.0,,15283.0
2025-01-11,East,Tablet,16,249.0,0.2,3187.2
2025-01-12,West,Tablet,9,899.0,0.2,6472.8
2025-01-13,East,Laptop,15,599.0,0.1,8086.5
2025-01-14,West,Phone,8,249.0,,1992.0
2025-01-15,East,Laptop,14,399.0,0.0,5586.0
2025-01-16,West,Tablet,13,599.0,0.0,7787.0
2025-01-17,East,Tablet,5,399.0,0.1,1795.5
2025-01-18,North,Tablet,6,249.0,0.2,1195.2
2025-01-19,West,Monitor,2,599.0,,1198.0
2025-01-20,South,Monitor,3,399.0,0.1,1077.3
2025-01-21,East,Phone,9,249.0,0.2,1792.8
2025-01-22,South,Laptop,10,399.0,0.1,3591.0
2025-01-23,North,Tablet,4,599.0,,2396.0
2025-01-24,West,Monitor,8,899.0,0.2,5753.6
2025-01-25,West,Monitor,12,899.0,0.1,9709.2
2025-01-26,East,Laptop,5,249.0,,1245.0
2025-01-27,South,Laptop,7,399.0,0.0,2793.0
2025-01-28,West,Laptop,7,599.0,,4193.0
2025-01-29,East,Laptop,10,599.0,0.0,5990.0
2025-01-30,South,Tablet,7,399.0,0.05,2653.35
2025-01-31,South,Tablet,15,399.0,,5985.0
2025-02-01,North,Phone,7,399.0,0.2,2234.4
2025-02-02,North,Phone,9,599.0,,5391.0
2025-02-03,East,Monitor,8,399.0,0.2,2553.6
2025-02-04,West,Phone,4,599.0,0.2,1916.8
2025-02-05,North,Monitor,14,249.0,0.05,3311.7
